Unusual,Blog Name,URL,Person's Name,Location,Source,Description
,/LiLPiNK Blog/,http://www.lilpink.info/,Kai Darul,Philippines,http://muslimahbloggersdirectory.blogspot.com/,"I started blogging way back in 2007 using Friendster blog. I moved out of Friendster blog to Blogspot in 2008. I took blogging seriously when I was a sophomore in college. That's the time I won this domain from Cei's mini blog giveaway. When I won this domain, Cei had it self-hosted. So, I was using Wordpress for almost two years from Feb 2010 to Nov 2012. However, I had to switch to Blogspot again in Nov 2012 for some personal reasons."
,A Hotchpotch Hijabi in Italy,http://saritaagerman.blogspot.it/,SaritaAgerman,Italy,http://muslimahbloggersdirectory.blogspot.com/,"Well, they both happen to be snapshots of my own life. My past and present. I was raised as a Christian in the UK and converted to Islam just over three years ago while living and working in Italy. - See more at: http://saritaagerman.blogspot.it/p/about-me.html#sthash.BWHp1MrX.dpuf"
,A Modern day Hijab,http://mimi-amoderndayhijabi.blogspot.com/,Aleema,Linguistics,http://muslimahbloggersdirectory.blogspot.com/,"I'm a 20 year old girl that has a love for fashion and is obsessed with makeup. I'm an undergraduate in college, majoring in Linguistics with a minor in Anthropology. I'm of Guyanese and Nigerian descent"
,A Muslim Preschooler's Home,http://amuslimpreschoolershome.blogspot.com/,Umm Aminah,"UAE, Ajman",http://muslimahbloggersdirectory.blogspot.com/,If your baby is suffering from cough and asthma here is a most commonly found herb in Kerala. It is called koorka leaves
,Amatulla,http://amatulla.blogspot.com/,Salihah,,http://muslimahbloggersdirectory.blogspot.com/,"I love art deco, thrift shops, beaded jewelry, canoes, mint and Earl Grey tea (not together), kung fu, sewing, DIY projects, knitting, and crochet. I’ve worked in an international elementary school in administration and special education and currently work as a social services coordinator part-time"
,At Home With Asma,http://athomewithasmaa.blogspot.co.uk/p/about.html,Asmaa,,http://muslimahbloggersdirectory.blogspot.com/,
,Akhwaat fi Sabil Allah,http://akhwatfisabilallah.blogspot.dk/,,,http://muslimahbloggersdirectory.blogspot.com/,Blog has removed
,Bargain Hunt Hijabi,http://bargainhunthijabi.blogspot.com/,,,http://muslimahbloggersdirectory.blogspot.com/,Blog has removed
,Beautyguide,http://beautyguiderblogs.blogspot.com/,Samran Noor,Karachi,http://muslimahbloggersdirectory.blogspot.com/,Heyy you there!! I'm a Pakistani beauty blogger.I have this in-born love with make-up and all the girly stuff.
,Been's Lair,http://bayanola.blogspot.com/search/label/Selfhelp,Bayanola S,Jeedha,http://muslimahbloggersdirectory.blogspot.com/,"Hello Suu book today is [body language, how do you know what is being said already] written by James Burge book in my Welle was stuffing a lot, but the information was useful to Juath very analytical and logical proportion Vaidta it was almost 60% and da choise .."
,Being Kate,http://newrhythms-kate.blogspot.com/p/me.html,Kate,North Africa,http://muslimahbloggersdirectory.blogspot.com/,"Kate: is Mother to seven organically reared children. Homeschooling from 1997-2009 , after which her county and circumstances changed. She now frequently moves from house to house dragging her seven children"
,Canadian Hijabi,http://canadianhijab.blogspot.ca/,Canadian Hijabi,"Toronto, Canada",http://muslimahbloggersdirectory.blogspot.com/,The greatest discovery of all time is that a person can change his future by merely changing his attitude.
,Clean Iron,http://cleaniron.blogspot.com/,Maisarah Fadzil,,http://muslimahbloggersdirectory.blogspot.com/,"I hereby acknowledge that any reliance upon any materials shall be at your sole risk. http://cleaniron.blogspot.com/ reserves the right, in it's sole dis-creation and without any obligation, to make improvements to, or correct any error or omissions in any portion of the service or the materials."
,Colour Me Fuchsia,http://colourmefuchsia.blogspot.com/,Junisa,,http://muslimahbloggersdirectory.blogspot.com/,"I can't express how much I missed blogging. Today, I want to start off by posting an art content. In this post, the art itself is a creation of a civil engineering student. She is a lovely friend of mine namedJunisa who is usually called Jujuy."
,Deen and The Dunya,http://deenandthedunya.wordpress.com/,Hiya,,http://muslimahbloggersdirectory.blogspot.com/,"The aim of this blog is for me to have a place to voice my experiences and anything else that I want to talk about! The posts are all random and written due to whatever is going through my mind at that particular moment. If you would like me to write up on any topic, feel free to let me know! All the opinions stated here are my own!"
,Forever & Ever,https://www.blogger.com/blogin.g?blogspotURL=http://azizooooo.blogspot.com/,,,http://muslimahbloggersdirectory.blogspot.com/,
,HijabiWrites...,http://hijabi-writes.blogspot.co.uk/p/about.html,Hajabi Writters,,http://muslimahbloggersdirectory.blogspot.com/,"Salaaaams ladies, first of I would like to welcome you to my very first blog :). On here I will be doing reviews, fashion related posts (OOTD), beauty tips & tricks/beauty reviews, all sorts about the hijab and maybe random insights of my life. Am ever so excited to take on this journey of a ""Blogger"" and insha'Allah it shall be a great success. I intend to help you guys with any queries you might have of any relevant or irrelevant subject :)."
,Ifaza's Cozy Corner,http://www.ifaza.com/about-me/,Ifaza,Sri Lanka,http://muslimahbloggersdirectory.blogspot.com/,"I’m Ifaza a 22 year old mum blogger from Colombo, Sri Lanka. In this blog you will find many things. From my dreams and aspirations for life to homemaking and business tips."
,Ilm Adventures Homeschool,http://ilmadventures.com/,‘Ilm Adventures,,http://muslimahbloggersdirectory.blogspot.com/,"I’ m a Muslim mummy to two children, R (aka Ray-ray or Missy Moo Moo) who is four but almost five and A (aka Abbi, Abi-do or Lil man) who has literally just turned four too!"
,Ilma Education and Play,http://ilmaeduplay.blogspot.com.au/,Jameela ho,,http://muslimahbloggersdirectory.blogspot.com/,"From observing many parents and their children, I can say that, generally speaking, the type of parent that you are affects your child's education."
,Imaan,http://imaan.net/,Imaan,Singapore,http://muslimahbloggersdirectory.blogspot.com/,"I'm a Muslim Singaporean based in Islamabad, Pakistan. I homeschool my 3 rowdy ruffians, Mars, Bear and Peep. We are true blue bibliomaniacs and run a small library for local homeschoolers. I adore crafting, all things vintage, and of course, tea."
,Islamic Cover Photos,http://islamiccoverphoto.blogspot.com/,Al-Bukhari,,http://muslimahbloggersdirectory.blogspot.com/,These pictures can be used for any dawah purpose and are completely FREE. All we ask you is to Share them on internet and on Facebook. So that people can get benefit and it would be sadaqah-e-jariyyah.  
,J'adore Toujour Apres,http://www.loveforeverafterx.blogspot.co.uk/,,,http://muslimahbloggersdirectory.blogspot.com/,Blog has removed
,JadoreVintageParis,http://jadorevintageparis.blogspot.co.uk/,,,http://muslimahbloggersdirectory.blogspot.com/,Blog has removed
,Journey to Jannah,http://leavesofknowledge.blogspot.com/,,,http://muslimahbloggersdirectory.blogspot.com/,Blog has removed
,Jumanah,http://jchowdhury1.blogspot.co.uk/,,,http://muslimahbloggersdirectory.blogspot.com/,Blog has removed
,Just Konceptions,http://justkonceptions.blogspot.com/,,,http://muslimahbloggersdirectory.blogspot.com/,Blog has removed
,Just.Another.Muslim,http://blog.duawrites.com/,Zain Shamoor,,http://muslimahbloggersdirectory.blogspot.com/,Feed Yourself is a cooking guidebook that is the perfect cookbook for students and young professionals starting to cook for the first time.
,Konception,http://konception.blogspot.com/,,,http://muslimahbloggersdirectory.blogspot.com/,----nothing to Display---
,La Luna & Rose,http://lalunarose.blogspot.com/,,,http://muslimahbloggersdirectory.blogspot.com/,Blog has removed
,Leap To Faith,http://aleaptofaith.blogspot.com/,,,http://muslimahbloggersdirectory.blogspot.com/,---Did not permission---
,Life Style of a Hijabi,http://lifestyleofahijabi.blogspot.co.uk/,Asiyah,"Manchester, United Kingdom",http://muslimahbloggersdirectory.blogspot.com/,A hijabi conquering everday as it comes. From problems to fun times. A dose of my life =).
,Loveofthislight,http://loveofthislight.blogspot.co.uk/,Nourah,United Kingdom,http://muslimahbloggersdirectory.blogspot.com/,"Asalaamu'Alaikum, My name is Nourah, I'm a lover of this light in my life HIS (SWT)'s light in my life. I'm a fashion student living in the UK. To get in contact Email me on loveofthislight@gmail.com"
,MadeFayse,http://madefayse.blogspot.co.uk/,Munchkins,West London,http://muslimahbloggersdirectory.blogspot.com/,"Hi munchkins! :) So there's two of us: Shakilla & Taz Once upon a very boring day, we were looking through beauty blogs and youtube video's by beauty guru's and thought of the craziest idea ever."
,MakeupDoctress,http://www.makeupdoctress.blogspot.com/,,,http://muslimahbloggersdirectory.blogspot.com/,Blog has removed
,Merry Muslimah,http://merrymuslimah.blogspot.com/,,,http://muslimahbloggersdirectory.blogspot.com/,Blog not found
,Middle Way Mom,http://www.middlewaymom.com/,Shannen,United state,http://muslimahbloggersdirectory.blogspot.com/,"Assalam alaykum (peace be upon you)! I’m Shannen: a convert to Islam, wife to my dreamy fellow convert husband and mama to three beautiful girls: Care Bear (14), Little Miss (3), and Tulip (1)!"
,Miss-Peacock,http://miss-peacock.blogspot.de/,Fatma,Germany,http://muslimahbloggersdirectory.blogspot.com/,"Hi, my name is Fatma, I am 22 and I live in Germany. I love colours. I have an extreme passion for design at all, make-up, fashion, photography and graphic design. Writing around the world of fashion and design."
,Muslim Motherhood SG,http://www.muslimmotherhoodsg.com/,,,http://muslimahbloggersdirectory.blogspot.com/,"An effort to remind one another on our important mission as Muslim Mothers. How do we apply the mentality, social values and honourable skills of the women in the Prophet’s Time to our current Singaporean lifestyle."
,Muslimah Delights,http://muslimahdelights.blogspot.co.uk/,,United Kingdom,http://muslimahbloggersdirectory.blogspot.com/,"Hey, this post has been long awaited and has been delayed due to me being away recently to Umrah! (Post a comment if you want to share a post on Umrah)."
,Muslimah Interrupted,http://muslimah-interrupted.blogspot.com/,,,http://muslimahbloggersdirectory.blogspot.com/,Blog not found
,Muslimah in Solace,http://muslimahinsolace.blogspot.co.uk/,Salwa Muslimah,"Moroccan, British",http://muslimahbloggersdirectory.blogspot.com/,Amazing Video response. Allah grant these sisters with Jannah and make us all as strong as them and may Allah wake up all the sleeping lazy Muslims!
,MuslimahluvsMakeup,http://ruyapoetatheart.blogspot.in/,Umm Inaam,India,http://muslimahbloggersdirectory.blogspot.com/,"a dreamer lured by the most beautiful dream and a great promise.My intrests is reading, writing, learning, dreaming, Nouman Ali Khan's lectures and so on.."
,"Muslimahs Views on Islam, History, Politics and Fashion",http://muslimahview-islam-history-fashion.blogspot.co.uk/,Nazia Muslimah,London,http://muslimahbloggersdirectory.blogspot.com/,"Young Muslimah from London, has a passion to learn more about Islam. Interested in History, Politics and Fashion. Looking to share my knowledge and views."
,My Deen Diary,http://www.mariam-jannahseeker.blogspot.ca/,Mariam,Canada,http://muslimahbloggersdirectory.blogspot.com/,"I'm on a journey, its better than any trip i've taken. I had rested (too long) somewhere along the way but Alhamdolillah i'm on my way again. This is the journey Inshallah on the Sirat Al mustaqeem and at the end of it,"
,My Everyday Struggles,http://myeverydaystruggles.wordpress.com/,Kaye,Philippines,http://muslimahbloggersdirectory.blogspot.com/,"Hi! I am Kaye. I am a wife and a working mom to two wonderful kids, my bundle of joy. I am a Pharmacist from Philippines"
