Unusual,Blog Name,URL,Person's Name,Location,Source,Description
,Stylelista Confessions,http://www.stylelistaconfessions.com/,Alex,"Los Angeles, California",http://www.socalbloggersociety.com/p/members.html,"I am so glad you stopped by my blog! My name is Alex or Stylelista and I have been a lover of all things stylish since practically birth. When I came across my first issue of Vogue Magazine at age six, I knew fashion was my calling. Since then my life has revolved around everything fashion and beauty. I am a Southern California native but also a Texas girl, since I spent most of my teens in Houston! I made my way back West where I attended college in Arizona and majored in Fashion Marketing."
,Ash 'n' Fashn,http://ashnfashn.com/,Ashley Tarkington.,"Los Angeles, Southern California",http://www.socalbloggersociety.com/p/members.html,"Hi, I’m Ashley Tarkington. In 2nd grade I purposely failed an eye exam so I could have reading glasses as an accessory.  They were lavender with a tiny butterfly and rhinestone in the corner and I wore them when I wanted to change up my look. Years later I let my mom know I rigged the test and she laughed and said she wasn’t surprised. I was born in Arizona and raised in Southern California (Orange County). As soon as I graduated college I moved to LA to work in the entertainment industry."
,According to Kimberly,http://www.accordingtokimberly.com/,Kimberly,Southern California,http://www.socalbloggersociety.com/p/members.html,I love designing and have been creating dresses for years now. It’s one of my passions where I can express my creativity and style. Fun fact: I’ve participated in OC Fashion Week twice and was placed Top 5
,A Good Hue,http://www.agoodhue.net/,Amanda,"Los Angeles, California",http://www.socalbloggersociety.com/p/members.html,"Hi, I'm Amanda! Welcome to my blog, A Good Hue, where you'll find posts about my life, style, beauty, projects, recipes, and more. I hope to share ideas with you and want you to leave this blog feeling inspired."
,AA Kinal,http://aakinal.com/,Adrianna Aleksandra Kinal,"Los Angeles, California",http://www.socalbloggersociety.com/p/members.html,"I’m a Polish/Canadian fashion artist working and creating in Los Angeles.  I have worked as a designer, creative director, photographer, stylist, graphic designer and marketing media director."
,Antiques & Coffee,http://www.antiquesncoffee.com/,Sally-Jean,Southern California,http://www.socalbloggersociety.com/p/members.html,"DIY Projects, Fashion Lookbooks, and Thrifting Adventures with Antiques & Coffee."
, Another LA Girl,http://www.anotherlagirl.com/,Tania Davis,"Los Angeles, California",http://www.socalbloggersociety.com/p/members.html,"Welcome to Another L.A Girl, a blog created in the hopes of sharing some of my thoughts, likings, and a little of my everyday life. I am an avid enthusiast of all things fashion, diy, and design with a bit of music, friends, and social drinking thrown in for good measure. If you're interested in any of the aforementioned then I hope you come back soon to see where Another L.A Girl takes us."
,Ali Levine Designs,http://www.alilevinedesign.com/,Ali Levine,"Toluca Lake, California",http://www.socalbloggersociety.com/p/members.html,"Born and raised in New York, Ali credits her love of fashion and design to her city upbringing and style icon – her gran dmother. Ali graduated from University with a degree in Fashion Merchandising and Management. She began her career working for Target and went on to design for some of the biggest names in the industry including Fragments, Coach and Talbots."
,All Things Curiousjoi ,http://curiousjoi.com/,Joi,Southern California,http://www.socalbloggersociety.com/p/members.html,"Joi’s background as a gamer carries into her personal style and lifestyle posts on the site. Whether she is chatting about the highly anticipated Marvel movie release, what happening on some of the hottest TV Shows or how to interpret Cosplay into daily looks, Joi sums it all up in a colorfully wrapped geek chic package!"
,The Artistic Brunette,http://theartisticbrunette.com/,Megan,Southern California,http://www.socalbloggersociety.com/p/members.html,"Well hey, thanks for stopping by!  So you are interested in why I started this little blog.  Well I started it, because I wanted to help people.  Yes, plain and simple.  I want to use my blog to empower people in their 20s to go out and do amazing things.  "
