Unusual,Blog Name,URL,Person's Name,Location,Source,Description
,Hello Luvvy,http://www.helloluvvy.com/,"Darcy Munoz,  Kelsey Hency, Melinda Asewicz, Kaitlyn Lee","Little Rock & Fayetteville, Arkansas",http://southernblogsociety.com/members/,"Hello Luvvy is a website for luvvly ladies. We strive to write fun, creative, and thought provoking articles that speak to women everywhere. Feel free to visit us at helloluvvy.com!"
,The Made Thing,http://themadething.com/,Kim Herrington,"Conway, Arkansas",http://southernblogsociety.com/members/,"Originally from Massachusetts, Kim moved to Arkansas for college and fell in love with the state. She now lives in Conway, Arkansas and works as a freelance blogger and online marketing consultant.  She’s traveled a good deal in her life and spent one year living in France. She speaks French fluently, loves to read and write, likes cooking, and can’t get enough of dogs. Here’s a closer look at Kim."
,AJ Wears Clothes,http://ajwearsclothes.com/,Amy Jo,"Little Rock, Arkansas",http://southernblogsociety.com/members/,"Hi! My name is AJ (it's short for Amy Jo) and I'm a Texas girl living in Little Rock, AR. In real life, I'm a social media manager and radio DJ who has a lot of fashion freedom to experiment. By night, I fight crime with my stilettos and my magic credit card. Wait, was that an OC reference? (I may also watch too much TV).  I started this blog to document my personal style; I used to be a TV Reporter and constantly got questions about my clothes, so I thought it would be nice to document what I was wearing each day. I look at it as my living history of outfits."
,A Cup Of Lindsay Jo,http://www.acupoflindsayjo.com/,Lindsay Jo,"Colombus, Mississippi",http://southernblogsociety.com/members/,"A daily fix of fashion, design, and life"
,The Hive,http://thelovelybee.wordpress.com/,Laurel Donahoo,"Madison, Mississippi",http://southernblogsociety.com/members/,"Saved by grace, wife to an amazing man, mama to 3 sweet pups, The Lovely Bee paper co. designer, SummerHouse social media girl, traveler, blogger...😍"
,The Fashionable Wife,http://www.thefashionablewife.com/,Nikki Hodum,"Jackson, Mississippi",http://southernblogsociety.com/members/,"Welcome to The Fashionable Wife. I am a graphic designer by day, fashion blogger by night. I am a wife, mother to two precious pups, runner, yogi and fashion fanatic. Shoes are my weakness, as well as things that are girly, pink, sparkly or from J. Crew.  The Fashionable Wife is my place to share my fashion obsession, favorite trends, outfit inspirations and personal style. Thanks for stopping by!"
,Day Jobs & Dreams,http://dayjobsanddreams.com/,Kaitlyn,"Charleston, South Carolina",http://southernblogsociety.com/members/,"Welcome! I’m so glad you’re here.  I started Day Jobs & Dreams as a creative outlet and place to  express my thoughts, keep tabs on a medley of inspirations and explore life–beyond my 9 to 5 job.  As someone with zero blog or web design experience, Samuel Butler’s quote, “don’t learn to do, but learn in doing” sums up the mantra and idea behind this blog. Day Jobs & Dreams serves as a personal challenge and place to teach myself the ins-and-outs of web design, Photoshop and the world of blogging in general."
,Love Lola,http://www.lovelolablog.com/,lauren,"Greenville, South Carolina",http://southernblogsociety.com/members/,"hi, I’m lauren - lover of yoga, morning snuggles, and a boy named scofield.on any given day, you’ll find me cooking, thrifting, and dreaming of life in the city. i’m constantly seeking out adventure, trying to embrace every moment of this beautiful life. i believe in optimism, kindness, and the power of prayer."
,Brunettes on Broad,http://brunettesonbroad.com/,Jordanna,"Charleston, South Carolina",http://southernblogsociety.com/members/,"I’m Jordanna, the founder and voice behind Brunettes on Broad.  As a fashion & style enthusiast, it’s nearly impossible to not be inspired to start a blog in a place as charming as Charleston, SC. So a few short months after my move to the lowcountry, Brunettes on Broad was born! B on B is my creative haven outside of my normal 9-5...Mixing designer & budget-friendly pieces is my absolute fave! I’m a total TJ Maxx/Marshalls/Target ADDICT!  I love to embrace all sorts of styles and simply wear what feels good in the moment. Thanks a bunch for stopping by! :)"
,Did you hear about the Morgans,http://www.thematthewmorganfamily.blogspot.com/,Leslie Morgan,South Carolina,http://southernblogsociety.com/members/,"This blog is about our life as husband and wife and the beginning of our family. Matt and I met in April of 2009 and were friends for nearly 8 months before we began courting. Before we began our courtship, we really had become best friends so we were very serious about our courtship from the beginning. We dated for exactly 6 months before we got engaged (which was an incredible day) and just shy of 1 year of being together, we got married. 1/1/11 was our wedding date. People always say ""Well, at least your husband will never forget that"". I always say, ""He is so good about things like that, we didn't even consider that fact""."
,Market me trendy,http://www.marketmetrendy.com/,Lindsey,"Columbia,South Carolina",http://southernblogsociety.com/members/,"Market Me Trendy bloomed from a lot of passion and desire to share the everyday things I love to immerse myself in. From style & design to entertainment & technology with some randomness mixed in, you'll find a little of everything here."
,The sunflower Mama Chronicles,http://thesunflowermama.blogspot.com/,Shon,"Charleston, South Carolina",http://southernblogsociety.com/members/,"I am flawed in so many ways and have decided to share a glimpse of me here. I love Jesus with my whole heart, my husband is my hero, and my children inspire me to be a better me. I love fashion, coffee, crafting,writing and my new favorite thing: running. ""Let your gentleness be evident to all. The Lord is near."" Philippians 4:5. Email me: jeremiahsvessel@yahoo.com"
,Wacave Street Photography,http://wacavenue.tumblr.com/,Will Crooks,"Greenville, South Carolina",http://southernblogsociety.com/members/,"My name is Will Crooks and I am the guy behind the lens for WAC AVE Street Photography. I am a current college student at Furman University that desires to capture the variety of style walking around the streets of Greenville, SC. I hope to create a positive dialogue and image of personal style in Greenville for my fellow local sartorialists and anyone else who may stumble upon this blog. The snapshots on my blog hopefully provide style inspiration and expand the viewers as well as my own appreciation of individual style. I do freelance photography work in the fashion field as well as in any other creative and artistic field. I also do work as a personal stylist and wardrobe consultant. If you would like to contact me for collaborations, commissions, to advertise on the blog, or if you just want to say hello email me at william.crooks@furman.edu"
